LONG,LAT,ALT,DIST,BUS STOP,LABEL
-74.807772,10.994934,71.788,0,1,S1
-74.80771,10.995322,71.225,0.0438227,0,
-74.80785,10.995572,70.625,0.0756777,0,
-74.810293,10.996947,70.798,0.3835034,0,
-74.813845,10.999016,80.725,0.8349386,1,S2
-74.8161,11.00035,88.938,1.122743,1,S3
-74.819173,11.001706,96.857,1.491042,1,S4
-74.821052,11.002345,99.526,1.708423,1,S5
-74.823702,11.00322,104.133,2.01401,1,S6
-74.826899,11.004693,108.809,2.400088,1,S7
-74.830313,11.006285,106.496,2.813241,0,
-74.830942,11.006708,102.091,2.896623,0,
-74.830699,11.007491,99.355,2.987844,0,
-74.831961,11.008117,95.663,3.142413,0,
-74.831645,11.008778,93.775,3.223715,0,
-74.83183,11.008867,92.116,3.246318,0,
-74.833146,11.009551,75.5,3.40917,0,
-74.832184,11.011565,71.983,3.656863,0,
-74.831632,11.012651,77.744,3.792062,0,
-74.831413,11.012966,77.45,3.83455,0,
-74.83142,11.013079,77.084,3.847222,0,
-74.831512,11.013126,76.773,3.858647,0,
-74.831608,11.013149,76.542,3.86951,0,
-74.831682,11.013123,76.44,3.878091,0,
-74.831706,11.013,76.617,3.892013,0,
-74.831699,11.012865,76.96,3.907035,0,
-74.831692,11.0127,77.378,3.925383,0,
-74.831938,11.012175,75.339,3.98969,0,
-74.832034,11.01201,74.1,4.010796,0,
-74.833833,11.012953,63.617,4.233721,0,
-74.836135,11.014488,51.976,4.537866,1,S8
-74.838052,11.015774,46.851,4.79162,1,S9
-74.839089,11.016371,49.255,4.923084,0,
-74.839554,11.016531,47.567,4.977033,0,
-74.841567,11.016582,41.861,5.197109,0,
-74.842498,11.016577,40.109,5.298941,0,
-74.844998,11.016552,42.266,5.57215,0,
-74.847324,11.016548,45.793,5.826378,0,
-74.847517,11.016499,46.69,5.848263,0,
-74.848933,11.016776,51.575,6.006085,1,S10
-74.851392,11.017435,49.756,6.284704,1,S11
-74.851981,11.017519,50.692,6.349856,0,
-74.852094,11.017581,50.728,6.36406,0,
-74.852167,11.017547,51.02,6.372935,1,S12
-74.854579,11.017397,54.171,6.637098,1,S13
-74.856706,11.017171,57.136,6.870914,1,S14
-74.859218,11.016972,56.455,7.146372,0,
-74.859445,11.016988,55.245,7.171253,0,
-74.85977,11.017098,52.835,7.208939,0,
-74.860592,11.017663,50.156,7.318691,1,S15
-74.860965,11.017894,48.693,7.366944,0,
-74.863407,11.018672,42.14,7.647568,1,S16
-74.863888,11.018807,42.488,7.702347,0,
-74.863963,11.018882,42.219,7.714065,0,
-74.864116,11.01889,42.536,7.730811,0,
-74.864455,11.018961,43.102,7.768703,1,S17
-74.865821,11.019162,43.042,7.919695,1,S18
-74.868032,11.019604,37.646,8.166342,1,S19
-74.870609,11.020128,43.047,8.453942,1,S20
-74.871229,11.020244,44.595,8.522984,0,
-74.871375,11.020366,44.333,8.543991,0,
-74.871558,11.020335,44.662,8.564368,0,
-74.871611,11.020213,45.165,8.579094,0,
-74.871581,11.0201,45.534,8.591991,0,
-74.871452,11.020037,45.607,8.607645,0,
-74.87126,11.020129,45.047,8.630955,0,
-74.870259,11.019968,40.892,8.741767,1,S21
-74.867937,11.019472,37.935,9.001432,1,S22
-74.865922,11.019067,43.343,9.226123,1,S23
-74.864155,11.018743,43.514,9.422474,0,
-74.864018,11.0187,43.442,9.438139,0,
-74.863929,11.018713,43.152,9.447928,1,S24
-74.863746,11.018657,43.045,9.468797,0,
-74.861021,11.01783,49.266,9.780371,1,S25
-74.859738,11.016991,53.858,9.948698,0,
-74.859325,11.016859,57.096,9.996083,0,
-74.857165,11.017051,57.017,10.23302,1,S26
-74.854343,11.017306,54.555,10.54266,0,
-74.852913,11.017446,52.784,10.69968,1,S27
-74.852193,11.017441,51.645,10.77827,0,
-74.852104,11.017366,51.926,10.79094,0,
-74.851926,11.017378,51.455,10.81043,0,
-74.850449,11.017098,50.165,10.97473,1,S28
-74.848959,11.016681,52.178,11.14394,0,
-74.847603,11.016407,47.429,11.29521,1,S29
-74.847469,11.016396,46.864,11.3098,0,
-74.847368,11.016368,46.6,11.32114,0,
-74.84729,11.01642,46.134,11.3314,0,
-74.844478,11.01644,40.378,11.63862,0,
-74.843103,11.016449,39.378,11.78886,1,S30
-74.841312,11.016451,43.564,11.98447,0,
-74.839928,11.016238,47.287,12.13746,0,
-74.837499,11.01523,47.452,12.42564,0,
-74.836217,11.014466,51.637,12.58943,0,
-74.835045,11.01366,56.294,12.74573,0,
-74.832724,11.012236,70.372,13.04472,0,
-74.832083,11.011923,73.426,13.1229,0,
-74.832847,11.010394,71.13,13.31247,0,
-74.833937,11.008102,78.083,13.59408,1,S31
-74.833947,11.008056,78.15,13.59927,0,
-74.831063,11.006487,103.451,13.9596,0,
-74.827886,11.005039,109.461,14.34228,1,S32
-74.824433,11.003487,107.335,14.75725,0,
-74.822438,11.00259,100.976,14.99701,1,S33
-74.821048,11.002219,99.515,15.15441,0,
-74.818053,11.001195,94.648,15.50095,1,S34
-74.816783,11.000577,92.274,15.65573,0,
-74.813789,10.998845,80.759,16.03545,0,
-74.811547,10.997524,73.571,16.32113,0,
-74.808043,10.995584,70.597,16.76065,0,
-74.807816,10.995271,71.347,16.80332,0,
-74.808373,10.994266,73.867,16.93062,0,
-74.808374,10.994149,74.121,16.94363,1,S35
