
BUSES AND NODES IN ACTIVE CIRCUIT: ieee34-1

                                    Coord                                 Number of     Nodes
  Bus          Base kV             (x, y)                      Keep?       Nodes        connected ...

"sourcebus"  69.000          ( -300         , 0            )     No           3          1    2    3 
"800"        24.900          ( 0            , 0            )     No           3          1    2    3 
"802"        24.900          ( 400          , 0            )     No           3          1    2    3 
"806"        24.900          ( 700          , 0            )     No           3          1    2    3 
"808"        24.900          ( 1000         , 0            )     No           3          1    2    3 
"810"        24.900          ( 1000         , -800         )     No           1          2 
"812"        24.900          ( 1300         , 0            )     No           3          1    2    3 
"814"        24.900          ( 1600         , 0            )     No           3          1    2    3 
"814r"       24.900          ( 2100         , 0            )     No           3          1    2    3 
"850"        24.900          ( 2500         , 0            )     No           3          1    2    3 
"816"        24.900          ( 2900         , 0            )     No           3          1    2    3 
"818"        24.900          ( 2900         , 400          )     No           1          1 
"824"        24.900          ( 3200         , 0            )     No           3          1    2    3 
"820"        24.900          ( 2900         , 800          )     No           1          1 
"822"        24.900          ( 2900         , 1100         )     No           1          1 
"826"        24.900          ( 3500         , 0            )     No           1          2 
"828"        24.900          ( 3200         , -1200        )     No           3          1    2    3 
"830"        24.900          ( 3700         , -1200        )     No           3          1    2    3 
"854"        24.900          ( 4000         , -1200        )     No           3          1    2    3 
"832"        24.900          ( 4000         , -400         )     No           3          1    2    3 
"858"        24.900          ( 4000         , 0            )     No           3          1    2    3 
"834"        24.900          ( 4400         , 0            )     No           3          1    2    3 
"860"        24.900          ( 5000         , 0            )     No           3          1    2    3 
"842"        24.900          ( 4400         , 400          )     No           3          1    2    3 
"836"        24.900          ( 5600         , 0            )     No           3          1    2    3 
"840"        24.900          ( 6000         , 0            )     No           3          1    2    3 
"862"        24.900          ( 5600         , -400         )     No           3          1    2    3 
"844"        24.900          ( 4400         , 700          )     No           3          1    2    3 
"846"        24.900          ( 4400         , 1100         )     No           3          1    2    3 
"848"        24.900          ( 4400         , 1400         )     No           3          1    2    3 
"852r"       24.900          ( 4000         , -600         )     No           3          1    2    3 
"888"         4.160          ( 4700         , -400         )     No           3          1    2    3 
"856"        24.900          ( 4400         , -1200        )     No           1          2 
"852"        24.900          ( 4000         , -900         )     No           3          1    2    3 
"864"        24.900          ( 4000         , 400          )     No           1          1 
"838"        24.900          ( 5600         , -800         )     No           1          2 
"890"         4.160          ( 5000         , -400         )     No           3          1    2    3 
