Time, I1, I2, I3
0,55.2428,67.3239,81.7443
1,55.247,67.3247,81.7492
2,55.2471,67.3247,81.7493
3,55.2471,67.3247,81.7493
4,55.2471,67.3247,81.7493
5,55.2471,67.3247,81.7493
6,55.2471,67.3247,81.7493
7,55.2471,67.3247,81.7493
8,55.2471,67.3247,81.7493
9,55.2471,67.3247,81.7493
10,55.2471,67.3247,81.7493
11,55.2471,67.3247,81.7493
12,55.2471,67.3247,81.7493
13,55.2471,67.3247,81.7493
14,55.2471,67.3247,81.7493
15,55.2471,67.3247,81.7493
16,55.2471,67.3247,81.7493
17,55.2471,67.3247,81.7493
18,55.2471,67.3247,81.7493
19,55.2471,67.3247,81.7493
20,55.2471,67.3247,81.7493
21,55.2471,67.3247,81.7493
22,55.2471,67.3247,81.7493
23,55.2471,67.3247,81.7493
24,55.2471,67.3247,81.7493
25,55.2471,67.3247,81.7493
26,55.2471,67.3247,81.7493
27,55.2471,67.3247,81.7493
28,55.2471,67.3247,81.7493
29,55.2471,67.3247,81.7493
30,51.5566,63.0954,76.2196
31,51.555,63.0951,76.2179
32,51.5549,63.0951,76.2179
33,51.5549,63.0951,76.2179
34,51.5549,63.0951,76.2179
35,51.5549,63.0951,76.2179
36,51.5549,63.0951,76.2179
37,51.5549,63.0951,76.2179
38,51.5549,63.0951,76.2179
39,51.5549,63.0951,76.2179
40,51.5549,63.0951,76.2179
41,51.5549,63.0951,76.2179
42,51.5549,63.0951,76.2179
43,51.5549,63.0951,76.2179
44,51.5549,63.0951,76.2179
45,51.5549,63.0951,76.2179
46,51.5549,63.0951,76.2179
47,51.5549,63.0951,76.2179
48,51.5549,63.0951,76.2179
49,51.5549,63.0951,76.2179
50,51.5549,63.0951,76.2179
51,51.5549,63.0951,76.2179
52,51.5549,63.0951,76.2179
53,51.5549,63.0951,76.2179
54,51.5549,63.0951,76.2179
55,51.5549,63.0951,76.2179
56,51.5549,63.0951,76.2179
57,51.5549,63.0951,76.2179
58,51.5549,63.0951,76.2179
59,51.5549,63.0951,76.2179
60,51.5549,63.0951,76.2179
61,51.5549,63.0951,76.2179
62,51.5549,63.0951,76.2179
63,51.5549,63.0951,76.2179
64,51.5549,63.0951,76.2179
65,51.5549,63.0951,76.2179
66,51.5549,63.0951,76.2179
67,51.5549,63.0951,76.2179
68,51.5549,63.0951,76.2179
69,51.5549,63.0951,76.2179
70,51.5549,63.0951,76.2179
71,51.5549,63.0951,76.2179
72,51.5549,63.0951,76.2179
73,51.5549,63.0951,76.2179
74,51.5549,63.0951,76.2179
75,51.5549,63.0951,76.2179
76,51.5549,63.0951,76.2179
77,51.5549,63.0951,76.2179
78,51.5549,63.0951,76.2179
79,51.5549,63.0951,76.2179
80,51.5549,63.0951,76.2179
81,51.5549,63.0951,76.2179
82,51.5549,63.0951,76.2179
83,51.5549,63.0951,76.2179
84,51.5549,63.0951,76.2179
85,51.5549,63.0951,76.2179
86,51.5549,63.0951,76.2179
87,51.5549,63.0951,76.2179
88,51.5549,63.0951,76.2179
89,49.7182,60.9745,73.4692
